Algorithm,Size,Type,Time(ms)
Bubble,20,Random,0.027399975806474686
Insertion,20,Random,0.014600111171603203
Selection,20,Random,0.017399899661540985
Merge,20,Random,0.0467000063508749
Quick,20,Random,0.028899870812892914
Heap,20,Random,0.037400051951408386
3-Way Merge,20,Random,0.04770001396536827
Cycle,20,Random,0.03909994848072529
Counting,20,Random,13.973599998280406
Radix,20,Random,0.085500068962574
Timsort,20,Random,0.02729985862970352
Bubble,20,Sorted,0.02159993164241314
Insertion,20,Sorted,0.005300156772136688
Selection,20,Sorted,0.01919991336762905
Merge,20,Sorted,0.03869994543492794
Quick,20,Sorted,0.023300061002373695
Heap,20,Sorted,0.037800054997205734
3-Way Merge,20,Sorted,0.03620004281401634
Cycle,20,Sorted,0.015099998563528061
Timsort,20,Sorted,0.006300164386630058
Bubble,20,Reverse,0.033400021493434906
Insertion,20,Reverse,0.032800016924738884
Selection,20,Reverse,0.022600172087550163
Merge,20,Reverse,0.036800047382712364
Quick,20,Reverse,0.021999934688210487
Heap,20,Reverse,0.02810009755194187
3-Way Merge,20,Reverse,0.03879982978105545
Cycle,20,Reverse,0.029199989512562752
Timsort,20,Reverse,0.01219986006617546
Bubble,20,AlmostSorted,0.01840014010667801
Insertion,20,AlmostSorted,0.004899920895695686
Selection,20,AlmostSorted,0.01600012183189392
Merge,20,AlmostSorted,0.028399983420968056
Quick,20,AlmostSorted,0.02210005186498165
Heap,20,AlmostSorted,0.032499898225069046
3-Way Merge,20,AlmostSorted,0.034800032153725624
Cycle,20,AlmostSorted,0.01600012183189392
Timsort,20,AlmostSorted,0.009899958968162537
Bubble,20,FewUnique,0.02659996971487999
Insertion,20,FewUnique,0.015599885955452919
Selection,20,FewUnique,0.016700010746717453
Merge,20,FewUnique,0.033400021493434906
Quick,20,FewUnique,0.020300038158893585
Heap,20,FewUnique,0.031300121918320656
3-Way Merge,20,FewUnique,0.04029995761811733
Cycle,20,FewUnique,0.0746001023799181
Timsort,20,FewUnique,0.020099803805351257
Bubble,20,RandomFloat,0.028099864721298218
Insertion,20,RandomFloat,0.01759990118443966
Selection,20,RandomFloat,0.017399899661540985
Merge,20,RandomFloat,0.03560003824532032
Quick,20,RandomFloat,0.036899931728839874
Heap,20,RandomFloat,0.03429991193115711
3-Way Merge,20,RandomFloat,0.042999861761927605
Cycle,20,RandomFloat,0.04229997284710407
Timsort,20,RandomFloat,0.0195999164134264
Bubble,20,SortedFloat,0.016399892047047615
Insertion,20,SortedFloat,0.00409991480410099
Selection,20,SortedFloat,0.015099998563528061
Merge,20,SortedFloat,0.027300091460347176
Quick,20,SortedFloat,0.02019992098212242
Heap,20,SortedFloat,0.033400021493434906
3-Way Merge,20,SortedFloat,0.03450014628469944
Cycle,20,SortedFloat,0.013799872249364853
Timsort,20,SortedFloat,0.004200031980872154
Bubble,20,ReverseFloat,0.03160000778734684
